Datum,    Q,zonuren_dag
2000-01,201.7741935483871,1.8064516129032258
2000-02,484.3103448275862,3.682758620689655
2000-03,629.258064516129,2.5838709677419356
2000-04,1263.6,5.116666666666666
2000-05,1701.9032258064517,6.780645161290322
2000-06,1945.3,7.716666666666667
2000-07,1376.8709677419354,3.954838709677419
2000-08,1597.6774193548388,6.825806451612903
2000-09,906.8,3.8466666666666667
2000-10,508.83870967741933,3.161290322580645
2000-11,250.43333333333334,2.03
2000-12,205.90322580645162,2.2161290322580647
2001-01,241.8709677419355,2.3129032258064517
2001-02,483.57142857142856,3.2607142857142857
2001-03,570.7741935483871,2.041935483870968
2001-04,1220.1666666666667,4.83
2001-05,2028.741935483871,8.941935483870967
2001-06,1883.0,6.756666666666666
2001-07,1812.6451612903227,6.961290322580646
2001-08,1531.3870967741937,6.316129032258065
2001-09,900.3,3.7533333333333334
2001-10,609.0322580645161,3.8451612903225807
2001-11,281.53333333333336,2.1133333333333333
2001-12,192.4516129032258,2.083870967741935
2002-01,243.61290322580646,2.458064516129032
2002-02,520.6071428571429,4.132142857142857
2002-03,1014.8387096774194,5.66774193548387
2002-04,1386.5666666666666,6.573333333333333
2002-05,1590.8387096774193,6.274193548387097
2002-06,1803.8,6.46
2002-07,1683.0967741935483,5.929032258064517
2002-08,1401.774193548387,5.058064516129033
2002-09,1140.7333333333333,5.296666666666667
2002-10,626.0,3.9419354838709677
2002-11,299.6666666666667,2.3633333333333337
2002-12,149.67741935483872,1.3774193548387097
2003-01,231.4516129032258,2.138709677419355
2003-02,655.0714285714286,5.632142857142857
2003-03,1098.4193548387098,6.416129032258064
2003-04,1568.6,7.613333333333333
2003-05,1595.3548387096773,6.183870967741935
2003-06,2083.3333333333335,8.45
2003-07,1844.0645161290322,7.280645161290322
2003-08,1667.1935483870968,7.309677419354839
2003-09,1183.0333333333333,6.47
2003-10,689.6774193548387,4.767741935483872
2003-11,296.6333333333333,2.3033333333333332
2003-12,181.06451612903226,1.9967741935483871
2004-01,195.67741935483872,1.5516129032258066
2004-02,447.17241379310343,2.7551724137931037
2004-03,834.8387096774194,4.032258064516129
2004-04,1393.5,5.953333333333333
2004-05,1788.0,6.761290322580645
2004-06,1721.6,5.76
2004-07,1714.225806451613,6.361290322580645
2004-08,1490.5806451612902,6.16774193548387
2004-09,1156.5,6.13
2004-10,628.2258064516129,4.151612903225806
2004-11,253.76666666666668,1.82
2004-12,155.80645161290323,1.729032258064516
2005-01,269.8709677419355,2.661290322580645
2005-02,479.5,3.492857142857143
2005-03,762.7741935483871,3.193548387096774
2005-04,1391.2333333333333,6.16
2005-05,1762.0645161290322,7.129032258064516
2005-06,2056.9333333333334,8.063333333333334
2005-07,1546.5806451612902,5.025806451612903
2005-08,1518.8387096774193,6.383870967741935
2005-09,1157.0,6.3566666666666665
2005-10,731.8709677419355,5.538709677419354
2005-11,296.5,2.7199999999999998
2005-12,203.7741935483871,2.070967741935484
2006-01,263.93548387096774,2.864516129032258
2006-02,353.7142857142857,1.917857142857143
2006-03,910.3870967741935,4.774193548387097
2006-04,1360.1333333333334,5.366666666666666
2006-05,1618.1612903225807,6.33225806451613
2006-06,2011.3333333333333,8.186666666666666
2006-07,2175.7419354838707,9.887096774193548
2006-08,1230.4516129032259,4.0
2006-09,1156.0666666666666,6.02
2006-10,583.1612903225806,3.4838709677419355
2006-11,287.8,2.183333333333333
2006-12,147.09677419354838,1.5290322580645161
2007-01,209.06451612903226,1.6129032258064515
2007-02,357.75,2.042857142857143
2007-03,900.0967741935484,5.074193548387097
2007-04,1830.6666666666667,9.473333333333333
2007-05,1670.0645161290322,6.390322580645161
2007-06,1667.1,5.7266666666666675
2007-07,1609.7096774193549,6.235483870967743
2007-08,1540.6451612903227,6.412903225806452
2007-09,930.4666666666667,3.856666666666667
2007-10,645.2258064516129,4.187096774193549
2007-11,276.3,2.0633333333333335
2007-12,206.61290322580646,2.306451612903226
2008-01,200.74193548387098,1.6161290322580646
2008-02,538.0,4.406896551724138
2008-03,757.1290322580645,3.7612903225806456
2008-04,1418.9666666666667,6.156666666666666
2008-05,1897.3870967741937,8.370967741935484
2008-06,1968.9333333333334,7.75
2008-07,1650.3870967741937,5.858064516129032
2008-08,1328.9032258064517,5.270967741935484
2008-09,1016.8333333333334,4.89
2008-10,637.2903225806451,4.312903225806451
2008-11,255.1,1.7833333333333334
2008-12,224.03225806451613,2.7387096774193544
2009-01,298.5483870967742,3.2516129032258063
2009-02,334.25,1.6964285714285714
2009-03,862.1290322580645,4.583870967741936
2009-04,1540.9333333333334,7.55
2009-05,1820.8387096774193,7.625806451612903
2009-06,1980.4,7.72
2009-07,1837.8387096774193,7.519354838709678
2009-08,1688.9354838709678,7.296774193548386
2009-09,1085.8,5.33
2009-10,614.483870967742,3.9612903225806453
2009-11,237.53333333333333,1.71
2009-12,189.83870967741936,1.9258064516129034
2010-01,268.5483870967742,2.329032258064516
2010-02,353.10714285714283,1.8857142857142857
2010-03,891.7741935483871,4.661290322580645
2010-04,1657.5333333333333,8.203333333333333
2010-05,1600.225806451613,6.132258064516129
2010-06,2185.8333333333335,9.366666666666667
2010-07,2011.483870967742,8.258064516129032
2010-08,1316.1935483870968,5.258064516129032
2010-09,976.4,4.6866666666666665
2010-10,632.9032258064516,3.5999999999999996
2010-11,246.7,1.7266666666666666
2010-12,167.51612903225808,1.3709677419354838
2011-01,241.16129032258064,2.232258064516129
2011-02,375.9642857142857,2.3642857142857143
2011-03,1015.9354838709677,5.97741935483871
2011-04,1636.2,8.286666666666667
